protocol_id,trial_seed,spawn_x_cmd,spawn_y_cmd,spawn_yaw_deg_cmd,fault_time_cmd,hover_z_cmd,stage1_z_cmd,post_fault_mode,eval_duration_cmd,landing_descent_rate_cmd,t,phase,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd,allocator_config,selected_candidate,r1,r2,r3,r4,qp_score,qp_predicted_vz,qp_predicted_drift,qp_predicted_tilt,fault_x,fault_y,fault_z,fault_vx,fault_vy,fault_vz,fault_roll_deg,fault_pitch_deg,fault_max_motor_pwm,tau
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.764119386672974,landing_ramp,0.1177853494882583,0.1480398327112198,0.6007294058799744,0.1871738582849502,0.3049910962581634,-0.1395285129547119,4.485203266143799,3.2617411613464355,-6.508390426635742,13.19202995300293,3.759469509124756,1.173896074295044,30509,36569,38035,32505,0.6481258490661621,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.6801533699035645
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.764196634292604,landing_ramp,0.1177853494882583,0.1480398327112198,0.6007294058799744,0.1871738582849502,0.3049910962581634,-0.1395285129547119,4.485203266143799,3.2617411613464355,-6.508390426635742,13.19202995300293,3.759469509124756,1.173896074295044,30589,36115,37557,32505,0.6481196692565918,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.6802306175231951
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.784056663513184,landing_ramp,0.1209121868014335,0.1533896923065185,0.5981484651565552,0.1714823842048645,0.2871270179748535,-0.1290408372879028,4.485203266143799,3.2617411613464355,-6.508390426635742,13.19202995300293,3.759469509124756,1.173896074295044,30589,36115,37557,32505,0.6465308669189453,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7000906467437744
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.784249305725098,landing_ramp,0.1209121868014335,0.1533896923065185,0.5981484651565552,0.1714823842048645,0.2871270179748535,-0.1290408372879028,4.745701313018799,3.187430620193481,-6.478745937347412,9.35460090637207,6.438847541809082,1.3574888706207275,30589,36115,37557,32505,0.6465154555419922,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7002832889556885
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.784319877624512,landing_ramp,0.1209121868014335,0.1533896923065185,0.5981484651565552,0.1714823842048645,0.2871270179748535,-0.1290408372879028,4.745701313018799,3.187430620193481,-6.478745937347412,9.35460090637207,6.438847541809082,1.3574888706207275,30831,35937,37193,32505,0.6465098097900391,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7003538608551025
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.80537247657776,landing_ramp,0.123887151479721,0.1586245745420456,0.5956373810768127,0.155433714389801,0.2675330936908722,-0.1188741400837898,4.745701313018799,3.187430620193481,-6.478745937347412,9.35460090637207,6.438847541809082,1.3574888706207275,30831,35937,37193,32505,0.6448256018737794,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7214064598083514
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.805644035339355,landing_ramp,0.123887151479721,0.1586245745420456,0.5956373810768127,0.155433714389801,0.2675330936908722,-0.1188741400837898,4.937304973602295,3.0536112785339355,-6.438565254211426,5.753218650817871,8.60391902923584,1.4675014019012451,30831,35937,37193,32505,0.6448038771728516,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7216780185699463
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.805762767791748,landing_ramp,0.123887151479721,0.1586245745420456,0.5956373810768127,0.155433714389801,0.2675330936908722,-0.1188741400837898,4.937304973602295,3.0536112785339355,-6.438565254211426,5.753218650817871,8.60391902923584,1.4675014019012451,30905,35513,36739,32505,0.6447943785766602,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7217967510223389
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.824978351593018,landing_ramp,0.1264002025127411,0.1631849259138107,0.593426525592804,0.14059479534626,0.2480841279029846,-0.1097256690263748,4.937304973602295,3.0536112785339355,-6.438565254211426,5.753218650817871,8.60391902923584,1.4675014019012451,30905,35513,36739,32505,0.6432571318725586,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7410123348236084
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.825164079666138,landing_ramp,0.1264002025127411,0.1631849259138107,0.593426525592804,0.14059479534626,0.2480841279029846,-0.1097256690263748,5.048905849456787,2.8842642307281494,-6.394453048706055,2.4495725631713867,10.271223068237305,1.4648454189300537,30905,35513,36739,32505,0.643242273626709,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.7411980628967285
