eta,trial_seed,winner,winner_score,runner_up,runner_up_score,winner_margin,logged_score,replay_error
0.497000,62800007,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800008,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800009,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800010,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800011,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800012,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.498000,62800001,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800002,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800003,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800004,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800005,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800006,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800007,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800008,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800009,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800010,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800011,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.498000,62800012,balanced_2000_0_2000_12000,1.1087335316062121,balanced_2500_0_2500_12000,1.1099611638493625,0.0012276322431503672,1.1087335316062121,0.0
0.499000,62800001,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800002,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800003,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800004,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800005,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800006,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800007,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800008,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800009,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800010,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800011,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.499000,62800012,balanced_2000_0_2000_12000,0.5379515547061945,balanced_1000_0_1000_12000,0.5419397287032883,0.003988173997093836,0.5379515547061945,0.0
0.500000,62800001,opp_m4_10000,0.49305193029978533,opp_m4_11000,0.5279540078007575,0.034902077500972184,0.49305193029978533,0.0
