protocol_id,stage,motor,controller,policy_id,eta,rep,trial_seed,ic_protocol,plant_parameter,plant_factor
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.497000,10,62800010,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.497000,11,62800011,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.497000,12,62800012,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,1,62800001,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,2,62800002,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,3,62800003,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,4,62800004,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,5,62800005,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,6,62800006,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,7,62800007,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,8,62800008,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,9,62800009,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,10,62800010,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,11,62800011,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.498000,12,62800012,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,1,62800001,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,2,62800002,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,3,62800003,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,4,62800004,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,5,62800005,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,6,62800006,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,7,62800007,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,8,62800008,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,9,62800009,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,10,62800010,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,11,62800011,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.499000,12,62800012,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,1,62800001,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,2,62800002,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,3,62800003,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,4,62800004,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,5,62800005,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,6,62800006,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,7,62800007,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,8,62800008,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,9,62800009,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,10,62800010,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,11,62800011,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.500000,12,62800012,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,1,62800001,seeded_ic_v1,nominal,1.0
