eta,trial_seed,logged_winner,rank,candidate,r1,r2,r3,r4,score,margin_to_winner,predicted_vz,predicted_drift,predicted_tilt,vertical_violation,hard_vertical_violation,vertical_penalty,hard_vertical_penalty,drift_penalty,tilt_penalty,effort_penalty,reference_penalty,support_penalty,saturation_penalty,motor2_overboost_penalty,fault_z,fault_vz,fault_roll_deg,fault_pitch_deg,fault_angular_rate_radps,fault_max_motor_pwm
0.500000,62800011,opp_m4_10000,6,opp_m4_12000,0,0,0,12000,0.5946019675738649,0.10155003727407952,0.3236,0.06095071214204523,0.007965690456330776,0.0,0.0,0.0,0.0,0.0,0.0,0.4951254054550493,0.09947656211881553,0.0,0.0,0.0,0.7263619899749756,-0.004036309663206339,0.004679134581238031,-0.007965690456330776,0.0010652646310874393,32770.0
0.500000,62800011,opp_m4_10000,7,balanced_3000_0_3000_12000,3000,0,3000,12000,0.6022650049301175,0.10921307463033214,0.3227,0.08495071214204522,0.04396569045633078,0.0,0.0,0.0,0.0,0.0,0.0,0.5570160811369305,0.024869140529703883,0.020379783263483157,0.0,0.0,0.7263619899749756,-0.004036309663206339,0.004679134581238031,-0.007965690456330776,0.0010652646310874393,32770.0
0.500000,62800011,opp_m4_10000,8,zero,0,0,0,0,7.946054506486411,7.453002576186626,0.35,0.012950712142045222,0.007965690456330776,0.021697685511787468,0.0,6.055999826228916,0.0,0.0,0.0,0.0,1.8900546802574951,0.0,0.0,0.0,0.7263619899749756,-0.004036309663206339,0.004679134581238031,-0.007965690456330776,0.0010652646310874393,32770.0
0.500000,62800012,opp_m4_10000,1,opp_m4_10000,0,0,0,10000,0.49305193029978533,0.0,0.32799999999999996,0.061756457693940225,0.006016583181917667,0.0,0.0,0.0,0.0,0.0,0.0,0.343837087121562,0.1492148431782233,0.0,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,2,opp_m4_11000,0,0,0,11000,0.5279540078007575,0.034902077500972184,0.3258,0.06575645769394023,0.006016583181917667,0.0,0.0,0.0,0.0,0.0,0.0,0.41604287541709,0.11191113238366747,0.0,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,3,balanced_1000_0_1000_12000,1000,0,1000,12000,0.5291357080897936,0.036083777790008265,0.3233,0.07775645769394021,0.018016583181917668,0.0,0.0,0.0,0.0,0.0,0.0,0.5020021471974805,0.024869140529703883,0.0022644203626092396,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,4,balanced_2000_0_2000_12000,2000,0,2000,12000,0.5316900538752112,0.03863812357542584,0.323,0.08575645769394022,0.030016583181917668,0.0,0.0,0.0,0.0,0.0,0.0,0.5226323724247742,0.0,0.009057681450436958,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,5,balanced_2500_0_2500_12000,2500,0,2500,12000,0.5584749537439782,0.06542302344419282,0.32285,0.08975645769394022,0.036016583181917666,0.0,0.0,0.0,0.0,0.0,0.0,0.5381050413452445,0.006217285132425971,0.01415262726630775,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,6,opp_m4_12000,0,0,0,12000,0.5946019675738649,0.10155003727407952,0.3236,0.06975645769394023,0.006016583181917667,0.0,0.0,0.0,0.0,0.0,0.0,0.4951254054550493,0.09947656211881553,0.0,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,7,balanced_3000_0_3000_12000,3000,0,3000,12000,0.6022650049301175,0.10921307463033214,0.3227,0.09375645769394023,0.04201658318191767,0.0,0.0,0.0,0.0,0.0,0.0,0.5570160811369305,0.024869140529703883,0.020379783263483157,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.500000,62800012,opp_m4_10000,8,zero,0,0,0,0,7.946054506486411,7.453002576186626,0.35,0.021756457693940225,0.006016583181917667,0.021697685511787468,0.0,6.055999826228916,0.0,0.0,0.0,0.0,1.8900546802574951,0.0,0.0,0.0,0.7149231433868408,-0.003990051802247763,0.005975362379103899,0.006016583181917667,0.0010647956520605793,32762.0
0.502000,62800001,opp_m4_10000,1,opp_m4_10000,0,0,0,10000,0.49305193029978533,0.0,0.32799999999999996,0.0801955784514228,0.012330546043813229,0.0,0.0,0.0,0.0,0.0,0.0,0.343837087121562,0.1492148431782233,0.0,0.0,0.0,0.6951723098754883,-0.00358564336784184,-0.012330546043813229,0.0011144864838570356,0.0010652646310874397,32759.0
0.502000,62800001,opp_m4_10000,2,opp_m4_11000,0,0,0,11000,0.5279540078007575,0.034902077500972184,0.3258,0.08419557845142281,0.012330546043813229,0.0,0.0,0.0,0.0,0.0,0.0,0.41604287541709,0.11191113238366747,0.0,0.0,0.0,0.6951723098754883,-0.00358564336784184,-0.012330546043813229,0.0011144864838570356,0.0010652646310874397,32759.0
0.502000,62800001,opp_m4_10000,3,balanced_1000_0_1000_12000,1000,0,1000,12000,0.5291357080897936,0.036083777790008265,0.3233,0.0961955784514228,0.02433054604381323,0.0,0.0,0.0,0.0,0.0,0.0,0.5020021471974805,0.024869140529703883,0.0022644203626092396,0.0,0.0,0.6951723098754883,-0.00358564336784184,-0.012330546043813229,0.0011144864838570356,0.0010652646310874397,32759.0
0.502000,62800001,opp_m4_10000,4,balanced_2000_0_2000_12000,2000,0,2000,12000,0.5316900538752112,0.03863812357542584,0.323,0.10419557845142281,0.03633054604381323,0.0,0.0,0.0,0.0,0.0,0.0,0.5226323724247742,0.0,0.009057681450436958,0.0,0.0,0.6951723098754883,-0.00358564336784184,-0.012330546043813229,0.0011144864838570356,0.0010652646310874397,32759.0
