host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
3.4538791280065197,12950,settle,0.0,0.0,0.0,0.0,0.0
3.4738673450192437,12970,settle,0.0,0.0,0.0,0.0,0.0
3.4937891570152715,12990,settle,0.0,0.0,0.0,0.0,0.0
3.5148561329988297,13011,settle,0.0,0.0,0.0,0.0,0.0
3.5335297500132583,13029,settle,0.0,0.0,0.0,0.0,0.0
3.5547915550123435,13051,settle,0.0,0.0,0.0,0.0,0.0
3.573498080018908,13069,settle,0.0,0.0,0.0,0.0,0.0
3.593394426017767,13089,settle,0.0,0.0,0.0,0.0,0.0
3.612861393019557,13109,takeoff,0.0,0.0,0.0,0.0,0.0
3.63393255500705,13130,takeoff,0.0,0.0,0.0,0.0,0.0
3.6539324290060904,13150,takeoff,0.0,0.0,0.0,0.0,0.0
3.6757576639938634,13172,takeoff,0.0,0.0,0.0,0.0,0.0
3.693893053015927,13190,takeoff,0.0,0.0,0.0,0.0,0.0
3.7138671150023583,13210,takeoff,0.0,0.0,0.0,0.0,0.0
3.733970154018607,13230,takeoff,0.0,0.0,0.0,0.0,0.0
3.7540423840109725,13250,takeoff,0.0,0.0,0.0,0.0,0.0
3.7738548350171186,13270,takeoff,0.0,0.0,0.0,0.0,0.0
3.7959362160181627,13292,takeoff,0.0,0.0,0.0,0.0,0.0
3.814458534005098,13310,takeoff,0.0,0.0,0.0,0.0,0.0
3.833904489001725,13330,takeoff,0.0,0.0,0.0,0.0,0.0
3.853961493994575,13350,takeoff,0.0,0.0,0.0,0.0,0.0
3.8738994400191586,13370,takeoff,0.0,0.0,0.0,0.0,0.0
3.8939539749990217,13390,takeoff,0.0,0.0,0.0,0.0,0.0
3.913949665002292,13410,takeoff,0.0,0.0,0.0,0.0,0.0
3.9338766790169757,13430,takeoff,0.0,0.0,0.0,0.0,0.0
3.9540305850096047,13450,takeoff,0.0,0.0,0.0,0.0,0.0
3.973916275019292,13470,takeoff,0.0,0.0,0.0,0.0,0.0
3.993945847993018,13490,takeoff,0.0,0.0,0.0,0.0,0.0
4.0149763119989075,13509,takeoff,0.0,0.0,0.0,0.0,0.0
4.03492007299792,13529,takeoff,0.0,0.0,0.0,0.0,0.0
4.054864166013431,13549,takeoff,0.0,0.0,0.0,0.0,0.0
4.074917356017977,13569,takeoff,0.0,0.0,0.0,0.0,0.0
4.0958469710021745,13590,takeoff,0.0,0.0,0.0,0.0,0.0
4.116136333992472,13610,takeoff,0.0,0.0,0.0,0.0,0.0
4.135964660992613,13630,takeoff,0.0,0.0,0.0,0.0,0.0
4.155984695011284,13650,takeoff,0.0,0.0,0.0,0.0,0.0
4.177999892999651,13672,takeoff,0.0,0.0,0.0,0.0,0.0
4.196035375003703,13690,takeoff,0.0,0.0,0.0,0.0,0.0
4.21611191201373,13710,takeoff,0.0,0.0,0.0,0.0,0.0
4.235878872015746,13730,takeoff,0.0,0.0,0.0,0.0,0.0
4.255893721012399,13750,takeoff,0.0,0.0,0.0,0.0,0.0
4.277750512002967,13772,takeoff,0.0,0.0,0.0,0.0,0.0
4.297700419992907,13792,takeoff,0.0,0.0,0.0,0.0,0.0
4.315952222998021,13810,takeoff,0.0,0.0,0.0,0.0,0.0
4.335939009004505,13830,takeoff,0.0,0.0,0.0,0.0,0.0
4.35577768200892,13850,takeoff,0.0,0.0,0.0,0.0,0.0
4.375914648000617,13870,takeoff,0.0,0.0,0.0,0.0,0.0
4.395984436996514,13890,takeoff,0.0,0.0,0.0,0.0,0.0
4.416516157012666,13910,takeoff,0.0,0.0,0.0,0.0,0.0
4.437290670000948,13931,takeoff,0.0,0.0,0.0,0.0,0.0
4.45493422599975,13949,takeoff,0.0,0.0,0.0,0.0,0.0
4.475917962990934,13970,takeoff,0.0,0.0,0.0,0.0,0.0
4.49547709399485,13989,takeoff,0.0,0.0,0.0,0.0,0.0
4.517436730995541,14011,takeoff,0.0,0.0,0.0,0.0,0.0
4.537764181994135,14032,takeoff,0.0,0.0,0.0,0.0,0.0
4.556642767012818,14050,takeoff,0.0,0.0,0.0,0.0,0.0
4.5759426880104,14070,takeoff,0.0,0.0,0.0,0.0,0.0
4.595954465010436,14090,takeoff,0.0,0.0,0.0,0.0,0.0
4.615897911018692,14110,takeoff,0.0,0.0,0.0,0.0,0.0
4.635876518994337,14130,takeoff,0.0,0.0,0.0,0.0,0.0
4.655904959014151,14150,takeoff,0.0,0.0,0.0,0.0,0.0
4.675884008000139,14170,takeoff,0.0,0.0,0.0,0.0,0.0
4.695903871994233,14190,takeoff,0.0,0.0,0.0,0.0,0.0
4.716040344996145,14210,takeoff,0.0,0.0,0.0,0.0,0.0
4.7379876720078755,14232,takeoff,0.0,0.0,0.0,0.0,0.0
4.757760815002257,14252,takeoff,0.0,0.0,0.0,0.0,0.0
