motor,eta,boost,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
2,0.498,10000,1,0.3079740405082702,0.009005895904215485,0.0178360659629106,0.012867594376753453,0.25840053007271563,True,motorloss_ftcboost_m2_eta0p498_b10000_r0_0_0_0_rep1.csv
2,0.498,10000,2,0.3118805289268493,0.008312667339541014,0.0698030441999435,0.012846879098887803,0.2823035143022884,True,motorloss_ftcboost_m2_eta0p498_b10000_r0_0_0_0_rep2.csv
2,0.498,10000,3,0.3276071846485138,0.00996361512916666,0.0294949728995561,0.012810922311793161,0.26802137892197714,True,motorloss_ftcboost_m2_eta0p498_b10000_r0_0_0_0_rep3.csv
3,0.496,10000,1,0.3542366921901703,0.010932150916257887,0.1711154878139495,0.02278999858765034,0.26505313716685736,False,motorloss_ftcboost_m3_eta0p496_b10000_r0_0_0_0_rep1.csv
3,0.496,10000,2,0.3605001866817474,0.011509819703618559,0.1638540178537368,0.022789485772743714,0.2651317920626725,False,motorloss_ftcboost_m3_eta0p496_b10000_r0_0_0_0_rep2.csv
3,0.496,10000,3,0.3683227002620697,0.012903347569415486,0.1339457631111145,0.024186894967258572,0.25850717909525933,False,motorloss_ftcboost_m3_eta0p496_b10000_r0_0_0_0_rep3.csv
3,0.497,10000,1,0.3209099471569061,0.008750917033579657,0.1392396539449691,0.022618646616749418,0.26389328061389544,True,motorloss_ftcboost_m3_eta0p497_b10000_r0_0_0_0_rep1.csv
3,0.497,10000,2,0.3120276033878326,0.008204791259684447,0.150126650929451,0.021542593202873727,0.26268484284520366,True,motorloss_ftcboost_m3_eta0p497_b10000_r0_0_0_0_rep2.csv
3,0.497,10000,3,0.3255966901779175,0.007386002517652744,0.1083030551671981,0.021614431417997838,0.2515284625979797,True,motorloss_ftcboost_m3_eta0p497_b10000_r0_0_0_0_rep3.csv
3,0.498,10000,1,0.2910604178905487,0.008983832597656146,0.0553046390414238,0.020055565018807085,0.24882148034596352,True,motorloss_ftcboost_m3_eta0p498_b10000_r0_0_0_0_rep1.csv
3,0.498,10000,2,0.2839213013648987,0.00930632660542054,0.0288314837962389,0.019897665741900435,0.25892823925546804,True,motorloss_ftcboost_m3_eta0p498_b10000_r0_0_0_0_rep2.csv
3,0.498,10000,3,0.2782380878925323,0.009071920222199359,0.0275106206536293,0.018862613293113978,0.26206524316637775,True,motorloss_ftcboost_m3_eta0p498_b10000_r0_0_0_0_rep3.csv
4,0.496,10000,1,0.3791085183620453,0.011133091356176421,0.0741905197501182,0.018513921354638977,0.2672134933997316,False,motorloss_ftcboost_m4_eta0p496_b10000_r0_0_0_0_rep1.csv
4,0.496,10000,2,0.3726981878280639,0.010738239277707689,0.0723834261298179,0.018358639401636363,0.27053681260360646,False,motorloss_ftcboost_m4_eta0p496_b10000_r0_0_0_0_rep2.csv
4,0.496,10000,3,0.3764775991439819,0.010640317985512068,0.0695763751864433,0.017311584220935396,0.2682739790683503,False,motorloss_ftcboost_m4_eta0p496_b10000_r0_0_0_0_rep3.csv
4,0.497,10000,1,0.3208701610565185,0.009240230111232688,0.0567305199801921,0.01604957137241899,0.2719118890382539,True,motorloss_ftcboost_m4_eta0p497_b10000_r0_0_0_0_rep1.csv
