motor,eta,boost,file,found_contact,phase_contact,t_contact,z_contact,vz_contact,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd
1,0.5,7000,motorloss_ftcboost_m1_eta0p50_b7000.csv,True,max_brake_hold,12.956274032592772,0.0279442016035318,-0.2596176266670227,0.2596176266670227,0.012093450170050042,0.0612193308770656,0.017425866428606825,0.1782716768779822,True,32767.0,32637.0,32531.0,32385.0,0.95
1,0.5,8000,motorloss_ftcboost_m1_eta0p50_b8000.csv,True,max_brake_hold,13.354926824569702,0.0255324263125658,-0.2232203185558319,0.2232203185558319,0.0063869938328660145,0.0227879770100116,0.01760104148482535,0.19641560759386606,True,32767.0,32643.0,32667.0,32519.0,0.95
1,0.5,10000,motorloss_ftcboost_m1_eta0p50_b10000.csv,True,max_brake_hold,14.755176067352297,0.0279989186674356,-0.1716559529304504,0.1716559529304504,0.006291900384728358,0.0691238120198249,0.014018544808638215,0.2579878416982008,True,32767.0,32959.0,32637.0,32893.0,0.95
1,0.5,12000,motorloss_ftcboost_m1_eta0p50_b12000.csv,True,max_brake_hold,16.454029083251953,0.0251351576298475,-0.1770598143339157,0.1770598143339157,0.01049441013621867,0.0166479796171188,0.011766060319555492,0.2816275907575946,True,32767.0,32719.0,32603.0,32499.0,0.95
2,0.5,0,motorloss_ftcboost_m2_eta0p50_b0.csv,True,max_brake_hold,12.205239295959473,0.0238181632012128,-0.3913550972938537,0.3913550972938537,0.05088754096271585,0.1771270781755447,0.04162114385477008,0.09781082318951485,False,31725.0,32767.0,33015.0,32573.0,0.95
2,0.5,3000,motorloss_ftcboost_m2_eta0p50_b3000.csv,True,max_brake_hold,12.753358840942385,0.0294217858463525,-0.3282428085803985,0.3282428085803985,0.033431304799083024,0.0705154091119766,0.0191160107541354,0.10906865790055155,True,32427.0,32767.0,33297.0,32461.0,0.95
2,0.5,4000,motorloss_ftcboost_m2_eta0p50_b4000.csv,True,max_brake_hold,13.0060555934906,0.0216976404190063,-0.3037665486335754,0.3037665486335754,0.022625167744923548,0.1072733402252197,0.016248693425075615,0.12387039444902904,True,32225.0,32767.0,32785.0,32487.0,0.95
2,0.5,5000,motorloss_ftcboost_m2_eta0p50_b5000.csv,True,max_brake_hold,13.655229330062866,0.0299080405384302,-0.2486836314201355,0.2486836314201355,0.015600782461983957,0.0276675671339035,0.014718524504906865,0.13801785279300963,True,32403.0,32767.0,32791.0,32659.0,0.95
2,0.5,6000,motorloss_ftcboost_m2_eta0p50_b6000.csv,True,max_brake_hold,14.259817123413086,0.0275916997343301,-0.2184576839208603,0.2184576839208603,0.009042593566867778,0.050323374569416,0.012867967255737458,0.16622972702384248,True,32495.0,32767.0,32677.0,32645.0,0.95
2,0.5,7000,motorloss_ftcboost_m2_eta0p50_b7000.csv,True,max_brake_hold,14.609136581420898,0.0189224705100059,-0.2273348420858383,0.2273348420858383,0.010480761001944474,0.0100747626274824,0.012999230365474446,0.1706011941684889,True,32439.0,32767.0,32721.0,32613.0,0.95
2,0.5,8000,motorloss_ftcboost_m2_eta0p50_b8000.csv,True,max_brake_hold,16.2604341506958,0.0217622686177492,-0.1821517944335937,0.1821517944335937,0.0074600696747404065,0.0384547971189022,0.010868390390088708,0.20711319045185647,True,32587.0,32767.0,32713.0,32661.0,0.95
2,0.5,10000,motorloss_ftcboost_m2_eta0p50_b10000.csv,True,touchdown_hold,18.554908275604248,0.0285257920622825,-0.1767711639404297,0.1767711639404297,0.009263497674438837,0.0356773659586906,0.006528451935526247,0.2355921821396576,True,32557.0,32767.0,32779.0,32693.0,0.02
