motor,eta,residual,rep,trial_seed,candidate,r1,r2,r3,r4,contact_found,safe_touchdown,contact_t,contact_phase,contact_z,fault_to_contact_s,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,file
1,0.496,10000,14,11070014,dose_r10000,0,0,10000,0,True,False,12.826522588729858,adaptive_brake,0.0250324998050928,2.579746961593628,0.361676812171936,0.021594716352722275,0.0810327380895614,0.03062424455864843,0.24523158100454295,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070014.csv
1,0.496,10000,15,11070015,dose_r10000,0,0,10000,0,True,False,12.926162481307983,adaptive_brake,0.0263058356940746,2.7397961616516113,0.3581419885158539,0.01968800233193949,0.1838556975126266,0.029518690285555427,0.2852839675919676,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070015.csv
1,0.496,10000,16,11070016,dose_r10000,0,0,10000,0,True,False,12.744297742843628,adaptive_brake,0.0232073683291673,2.7788236141204834,0.3633715510368347,0.01769751399053861,0.1537842005491256,0.02747153805425869,0.2281210207518338,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070016.csv
1,0.496,10000,17,11070017,dose_r10000,0,0,10000,0,True,False,12.707412004470823,adaptive_brake,0.0271049030125141,2.7600195407867414,0.3501894176006317,0.01908880787495928,0.179782286286354,0.027781496909500495,0.2706101665312193,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070017.csv
1,0.496,10000,18,11070018,dose_r10000,0,0,10000,0,True,False,12.89232301712036,adaptive_brake,0.0260758996009826,2.719934701919554,0.3759196996688843,0.017879395149425135,0.1286352574825287,0.029617439518817748,0.2646730153470663,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070018.csv
1,0.496,10000,19,11070019,dose_r10000,0,0,10000,0,True,False,12.90877389907837,adaptive_brake,0.0231131445616483,2.7189981937408447,0.3673239946365356,0.018444925815244803,0.1315421164035797,0.0291122896488107,0.27152473976845615,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070019.csv
1,0.496,10000,20,11070020,dose_r10000,0,0,10000,0,True,False,12.965221643447876,adaptive_brake,0.027697117999196,2.719935178756714,0.3617107272148132,0.019586503093720658,0.1641795486211776,0.029058705067970526,0.26924143022040287,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070020.csv
1,0.496,10000,21,11070021,dose_r10000,0,0,10000,0,True,False,12.724695444107056,adaptive_brake,0.0241418424993753,2.759911060333252,0.3667201995849609,0.017033859272970766,0.1319399178028106,0.02775006787211523,0.2200231672265933,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070021.csv
1,0.496,10000,22,11070022,dose_r10000,0,0,10000,0,True,False,12.969493865966797,adaptive_brake,0.0271898750215768,2.806234359741211,0.3666228353977203,0.012890661805418195,0.0409698374569416,0.026124006590511853,0.2453794667731122,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070022.csv
1,0.496,10000,23,11070023,dose_r10000,0,0,10000,0,True,False,12.92461919784546,adaptive_brake,0.0252880919724702,2.7009325027465856,0.3624954223632812,0.018166689022963447,0.1243749409914016,0.031488450740140075,0.2563043415789146,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070023.csv
1,0.496,10000,24,11070024,dose_r10000,0,0,10000,0,True,False,12.90857434272766,adaptive_brake,0.0277608130127191,2.6632761955261213,0.3688158988952636,0.019595845287110458,0.1025216877460479,0.029763463114307488,0.2273441372712674,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070024.csv
1,0.496,10000,25,11070025,dose_r10000,0,0,10000,0,True,False,12.584835529327393,adaptive_brake,0.027473110705614,2.719810724258423,0.3636138141155243,0.018692957369948953,0.139002189040184,0.030040930378244967,0.2507173583637279,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070025.csv
1,0.496,10000,26,11070026,dose_r10000,0,0,10000,0,True,False,12.769278049468994,adaptive_brake,0.0242377370595932,2.739078521728514,0.3683726191520691,0.016720616001360832,0.1086779981851577,0.030922318112377337,0.22953568065476357,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070026.csv
1,0.496,10000,27,11070027,dose_r10000,0,0,10000,0,True,False,12.82378315925598,adaptive_brake,0.0296585783362388,2.7401337623596174,0.3635792732238769,0.01953529738216199,0.1871002912521362,0.02908889035145873,0.2822489170080043,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070027.csv
1,0.496,10000,28,11070028,dose_r10000,0,0,10000,0,True,False,12.504444599151611,adaptive_brake,0.0275227576494216,2.7200918197631836,0.3598114550113678,0.019483971886709348,0.1752471625804901,0.030966008484688563,0.2667793819934629,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070028.csv
1,0.496,10000,29,11070029,dose_r10000,0,0,10000,0,True,False,12.685461044311523,adaptive_brake,0.0267557334154844,2.7200663089752197,0.3817570507526397,0.01970456028951336,0.1699671596288681,0.029131784222793042,0.26738849096166345,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070029.csv
1,0.496,10000,30,11070030,dose_r10000,0,0,10000,0,True,False,12.88381838798523,adaptive_brake,0.0288281980901956,2.739013910293579,0.3709887564182281,0.017489259146698435,0.131907045841217,0.028143950989707237,0.21843964796521415,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r10000_seed11070030.csv
