motor,controller,trial_seed,candidate,file,fault_to_contact_s,touchdown_vertical_speed_mps,peak_abs_vz_postfault,mean_abs_vz_postfault,integral_abs_vz_dt,max_motor_pwm_postfault,mean_max_motor_pwm_postfault,mean_motor_m1,mean_motor_m2,mean_motor_m3,mean_motor_m4,safe_touchdown
1,cem,19980026,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980026.csv,3.0994248390197754,0.3325529396533966,0.3325529396533966,0.22013779296369848,0.6838121568886271,39289.0,33627.92060085837,32255.91416309013,30610.06652360515,32609.52575107296,33358.444206008586,True
1,cem,19980027,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980027.csv,3.0991220474243164,0.3377043008804321,0.3377043008804321,0.2234294976121766,0.6939107658153929,39201.0,33724.26394849786,32226.517167381975,30960.362660944207,32591.37982832618,33702.10515021459,True
1,cem,19980028,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980028.csv,3.1789186000823957,0.334130197763443,0.334130197763443,0.2195570331162317,0.6993031730457329,39379.0,33889.884937238494,32264.064853556487,30853.29079497908,32614.089958158995,33713.152719665275,True
1,cem,19980029,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980029.csv,3.1202645301818865,0.3438464105129242,0.3438464105129242,0.22543694404785886,0.7045581556315097,39397.0,33745.69296375266,32245.326226012792,30986.925373134327,32613.428571428572,33696.53304904051,True
1,cem,19980030,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980030.csv,3.181006431579588,0.3298317492008209,0.3298317492008209,0.21879774337989047,0.6972876392224934,39485.0,33761.64225941423,32245.539748953976,30993.257322175734,32636.5,33712.771966527194,True
4,cem,49980001,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980001.csv,3.8608696460723877,0.3236320316791534,0.3236320316791534,0.17809022446403855,0.688862024603409,39847.0,33690.96724137931,31222.743103448276,32598.443103448277,33689.69827586207,32286.32068965517,True
4,cem,49980002,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980002.csv,3.560929536819458,0.3401793837547302,0.3401793837547302,0.19353153968412673,0.6905096685279151,39821.0,33655.358878504674,31250.315887850466,32536.872897196263,33642.95514018692,32267.66542056075,True
4,cem,49980003,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980003.csv,3.5810208320617676,0.3460808992385864,0.3460808992385864,0.1950212795911426,0.699817427160328,39891.0,33594.43494423792,31185.345724907063,32547.408921933085,33581.263940520446,32265.17100371747,True
4,cem,49980004,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980004.csv,3.5400502681732213,0.3378413617610931,0.3378413617610931,0.19053175846111253,0.6755919837593112,39833.0,33626.17669172932,30950.541353383458,32587.236842105263,33446.259398496244,32289.42105263158,True
4,cem,49980005,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980005.csv,3.6189949512481707,0.3330937922000885,0.3330937922000885,0.19044899941517915,0.6904704764439968,39713.0,33732.086397058825,31308.998161764706,32577.354779411766,33727.57169117647,32265.376838235294,True
4,cem,49980006,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980006.csv,3.6210055351257324,0.335145503282547,0.335145503282547,0.18777001035949284,0.6806774133562841,39751.0,33569.30147058824,30870.1875,32594.007352941175,33357.23529411765,32295.854779411766,True
4,cem,49980007,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980007.csv,3.6190812587738055,0.3364667594432831,0.3364667594432831,0.19296277924748959,0.6995821285625858,39695.0,33608.84742647059,31038.023897058825,32582.38051470588,33445.69669117647,32276.295955882353,True
4,cem,49980008,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980008.csv,3.6999549865722656,0.3425879180431366,0.3425879180431366,0.19030605406389847,0.7050344221076514,39821.0,33610.496402877696,30891.726618705037,32520.15107913669,33320.68705035971,32306.760791366905,True
4,cem,49980009,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980009.csv,3.519685745239256,0.3476317226886749,0.3476317226886749,0.19455314236728294,0.6861563927482451,39875.0,33728.59168241966,31288.466918714556,32546.1606805293,33718.705103969754,32259.026465028357,True
4,cem,49980010,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980010.csv,3.5220754146575928,0.3449893295764923,0.3449893295764923,0.19396690365071417,0.6846680684012783,39717.0,33679.33459357278,30724.712665406427,32524.240075614365,33196.63327032136,32307.561436672968,True
