sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
68,4,19,45280019,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280019,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280019.csv
69,4,20,45280020,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280020,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280020.csv
70,1,16,15280016,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280016,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280016.csv
71,4,21,45280021,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280021,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280021.csv
72,1,17,15280017,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280017,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280017.csv
73,1,18,15280018,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280018,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280018.csv
74,2,15,25280015,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280015,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280015.csv
75,3,21,35280021,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280021,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280021.csv
76,2,16,25280016,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280016,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280016.csv
77,1,19,15280019,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280019,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280019.csv
