sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,runtime_controller,source_csv,rows,fault_z,fault_vz,contact_t,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
103,4,27,45280027,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280027.csv,4182,0.7096652388572693,-0.004134101327508688,13.549146175384521,True,0.33368173241615295,0.016318267583847024,0.02062341053165777,0.09434647858142853,0.019547050749933195,0.3468927904171605,True,True,True,True,True
104,3,27,35280027,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280027.csv,4164,0.6980360746383667,-0.0036552813835442066,12.905820369720459,True,0.31574317812919617,0.03425682187080381,0.023811040133979132,0.18340127170085907,0.022068637960831652,0.32094615098245927,True,True,True,True,True
105,1,26,15280026,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280026.csv,4206,0.7016896605491638,-0.003946233075112104,13.164957046508789,True,0.32861047983169556,0.02138952016830442,0.02013689449071116,0.17406778037548065,0.022063081382678453,0.31242537478798366,True,True,True,True,True
106,1,27,15280027,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280027.csv,4200,0.7312435507774353,-0.0037780795246362686,13.21426010131836,True,0.3398536443710327,0.010146355628967263,0.021230254289248098,0.18395690619945526,0.021601853084444688,0.314479480005852,True,True,True,True,True
107,2,26,25280026,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280026.csv,4197,0.7149224281311035,-0.003689252771437168,16.035741567611694,True,0.3215579390525818,0.02844206094741819,0.007640719732958442,0.05132469907402992,0.06923786872609322,0.04478461692579803,True,True,True,True,True
108,3,28,35280028,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280028.csv,4194,0.70128333568573,-0.00368166109547019,13.10799789428711,True,0.32842785120010376,0.021572148799896218,0.025353498024470723,0.17031806707382202,0.022946490091349702,0.32294334584950085,True,True,True,True,True
109,4,28,45280028,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280028.csv,4152,0.70294588804245,-0.0037480832543224096,14.516192197799683,False,0.39882373809814453,-0.04882373809814455,0.023164489217770406,0.45101913809776306,0.015173944682639788,0.2527102504825207,False,True,True,True,True
110,1,28,15280028,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280028.csv,4209,0.722514271736145,-0.003858952783048153,13.286976337432861,True,0.33087942004203796,0.019120579957962014,0.01932506071273721,0.16439928114414215,0.02188219509218772,0.2845375185257473,True,True,True,True,True
111,2,27,25280027,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280027.csv,4185,0.7205643653869629,-0.0039662523195147514,15.16609263420105,True,0.3309396803379059,0.019060319662094094,0.007662396666653275,0.027362173423171043,0.07822484719475922,0.04364351427311832,True,True,True,True,True
112,4,29,45280029,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280029.csv,4167,0.7217623591423035,-0.004140912555158138,13.50415587425232,True,0.3396448493003845,0.010355150699615456,0.02051667974338485,0.1194748803973198,0.01836427225712192,0.34318630025830943,True,True,True,True,True
113,1,29,15280029,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280029.csv,4155,0.7307106256484985,-0.004326484631747007,12.925006866455078,True,0.3427028954029083,0.007297104597091653,0.018952100727841436,0.14426127076148987,0.021882578090492905,0.30222974093999977,True,True,True,True,True
114,2,28,25280028,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280028.csv,4203,0.6982657313346863,-0.0035922552924603224,15.185688734054565,True,0.328520804643631,0.021479195356368996,0.008088679640558078,0.03225364163517952,0.07776734817519551,0.03766751519139495,True,True,True,True,True
115,2,29,25280029,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280029.csv,4197,0.7264578342437744,-0.00407693674787879,15.29102873802185,True,0.32995545864105225,0.02004454135894773,0.007640676244091492,0.021576499566435814,0.07693670657986436,0.03172554471152564,True,True,True,True,True
116,3,29,35280029,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280029.csv,4170,0.7124139666557312,-0.003981214482337236,13.025695323944092,True,0.3176094889640808,0.03239051103591917,0.024421619951302993,0.20178084075450897,0.020902277320131578,0.3367852975761959,True,True,True,True,True
117,1,30,15280030,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280030.csv,4203,0.7314644455909729,-0.0039710309356451035,13.252800226211548,True,0.342479407787323,0.00752059221267698,0.019994203544534118,0.17076341807842255,0.022209094842361738,0.31729733213062306,True,True,True,True,True
118,3,30,35280030,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280030.csv,4212,0.717544436454773,-0.003970874939113855,13.143031358718872,True,0.34250372648239136,0.00749627351760862,0.023338031764962776,0.1147904247045517,0.023089424325079665,0.31213213962080827,True,True,True,True,True
119,4,30,45280030,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280030.csv,4158,0.7261760234832764,-0.004194070119410753,13.404220342636108,True,0.34115633368492126,0.008843666315078713,0.01964048325374627,0.08221017569303513,0.018514315508324265,0.33582632668728446,True,True,True,True,True
120,2,30,25280030,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280030.csv,4215,0.7287302613258362,-0.00363382906652987,15.44524097442627,True,0.32720518112182617,0.022794818878173806,0.007840602720689394,0.01303012389689684,0.07767112425450878,0.016190597051553443,True,True,True,True,True
