condition_id,parameter,factor,plant_sha256,controller,controller_order,motor,eta,rep,trial_seed,protocol_id,experiment_protocol_id,tag,ic_protocol,internal_controller,source_csv,row_count,allocator_config,selected_candidate,r1,r2,r3,r4,fault_z,fault_vz,valid_prefault,contact_found,contact_t,contact_phase,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,max_angular_rate_radps,max_horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,tilt_ok,angular_rate_ok,drift_ok,safe_touchdown
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,11,63400011,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400011,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400011.csv,4221,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7029145956039429,-0.003698272630572319,True,True,15.28424334526062,adaptive_brake,0.3319365382194519,0.008188563287907607,0.10369262844324112,0.30256928905962327,0.02204915279996101,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,11,63400011,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400011,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400011.csv,4224,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7029095888137817,-0.003860400291159749,True,True,14.164236068725586,adaptive_brake,0.3646271228790283,0.017317291706289116,8.448890686035156,1.579552845498463,0.33696718672873105,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,12,63400012,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400012,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400012.csv,4191,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7209492325782776,-0.003873690264299512,True,True,13.945812702178955,adaptive_brake,0.362618625164032,0.015725277743723648,8.496556282043457,1.5576732433195528,0.32579158139872433,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,12,63400012,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400012,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400012.csv,4191,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.720895528793335,-0.004062115680426359,True,True,15.286782503128052,adaptive_brake,0.32420656085014343,0.007767198608233094,0.11241566389799118,0.2844517940563283,0.02084751944662023,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,13,63400013,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400013,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400013.csv,4191,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7151026129722595,-0.004038025159388781,True,True,15.167912244796753,adaptive_brake,0.3318699598312378,0.008305321538268467,0.1103944480419159,0.30151566305817495,0.02100746383599653,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,13,63400013,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400013,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400013.csv,4194,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7151167392730713,-0.004105042666196823,True,True,13.983852624893188,adaptive_brake,0.357715904712677,0.015534634261422896,8.491259574890137,1.5473033410316945,0.32982436602582393,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,14,63400014,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400014,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400014.csv,4182,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.6940782070159912,-0.0036305615212768316,True,True,13.74708080291748,adaptive_brake,0.36446428298950195,0.016677758500847135,8.467496871948242,1.5527654059157185,0.3109612120529742,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,14,63400014,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400014,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400014.csv,4182,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.6939753293991089,-0.003941782284528017,True,True,15.045314073562622,adaptive_brake,0.3235180079936981,0.00830462098740504,0.10392530262470245,0.30149214328772206,0.020033303987696746,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,15,63400015,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400015,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400015.csv,4197,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7089040279388428,-0.0040123434737324715,True,True,15.169895887374878,adaptive_brake,0.33234840631484985,0.0077004455032402405,0.11057202517986298,0.2976313880579388,0.024060615659017362,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,15,63400015,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400015,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400015.csv,4200,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7086910009384155,-0.003673737868666649,True,True,13.987439393997192,adaptive_brake,0.3595741093158722,0.016786075204715388,8.492717742919922,1.5408883777336284,0.33331558637900727,False,True,True,False,True,False
