condition_id,parameter,factor,controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08226190060377121,0.08329236507415771,0.0049234829856802526,0.008612641149408273
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.08212802559137344,0.08253107219934464,0.002237786063864887,0.0023956811026514145
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08171585202217102,0.08199843764305115,0.0023374582266267787,0.002443745828232529
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.0816466361284256,0.08220021426677704,0.002220154702289011,0.0023847953373776804
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,2.5069462299346923,2.647534132003784,20.092528373408694,22.330103335784866
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,1.1674883365631104,1.3815293312072754,14.428372594839164,16.37023115958239
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9245771527290344,0.9404816627502441,1.9304152734614335,1.9517473601213216
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08135900497436524,0.08190567046403885,0.008753335326630035,0.022395433231774942
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.08178312182426453,0.0823998674750328,0.0022738808473120663,0.0024252935055053258
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08183410167694091,0.08266306668519974,0.002135518024438012,0.0024183101314195926
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08195901364088058,0.08250844478607178,0.0021702531706509942,0.002181447783897595
arm_length_minus10,arm_length,0.90,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,2.5418277263641356,2.678065538406372,18.375618796880218,19.45784234451358
arm_length_minus10,arm_length,0.90,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,1.0806626081466675,1.1264150142669678,14.930428887266663,15.791723338775952
arm_length_minus10,arm_length,0.90,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9300326704978943,0.9420218467712402,2.0896030501797216,2.1142013632716985
arm_length_minus10,arm_length,0.90,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08183706849813462,0.08207329362630844,0.004835384402777909,0.008207876695715644
arm_length_minus10,arm_length,0.90,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.08168507665395737,0.08238928020000458,0.0024276215692994323,0.002444924857295702
arm_length_minus10,arm_length,0.90,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08157866299152375,0.08190982043743134,0.0024301294672804813,0.002445530535967015
arm_length_minus10,arm_length,0.90,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08171904683113099,0.08222142606973648,0.0024307221809152443,0.002440822334606975
arm_length_plus10,arm_length,1.10,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,1.6852442026138306,1.788588523864746,17.483856158035916,18.204885982798714
arm_length_plus10,arm_length,1.10,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,0.7921757221221923,0.8466033935546875,12.622544017889352,12.749357577566222
arm_length_plus10,arm_length,1.10,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9180591940879822,0.9284696578979492,1.633789943808858,1.6418352479012979
arm_length_plus10,arm_length,1.10,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08185112327337266,0.08219818770885468,0.00829110489963306,0.020296611689914285
arm_length_plus10,arm_length,1.10,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.08177184462547302,0.08212754130363464,0.0019104748367705484,0.00205723238506574
arm_length_plus10,arm_length,1.10,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08160672485828399,0.08214352279901505,0.002128211624389772,0.0024014296819613967
arm_length_plus10,arm_length,1.10,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08180818259716034,0.08217162638902664,0.0021197412449643844,0.0021814426408285413
