motor,eta,candidate,r1,r2,r3,r4,predicted_vz,corrected_vz,loss,config
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3353,0.3353,0.19993279999999944,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
3,0.498,opp_m1_12000,12000,0,0,0,0.3356,0.3356,0.16808447999999998,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
4,0.498,opp_m2_10000,0,10000,0,0,0.33999999999999997,0.33999999999999997,0.23439999999999872,baseline
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
1,0.496,opp_m3_12000,0,0,12000,0,0.3476,0.3516,6.357216000000151,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3467,0.37170000000000003,670.4968400000032,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
3,0.496,opp_m1_13000,13000,0,0,0,0.34564999999999996,0.34564999999999996,0.7737139999999948,cem_tuned
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
