motor,trial_seed,pinv_safe,qplite_safe,cem_tuned_safe,pinv_vertical_speed_mps,qplite_vertical_speed_mps,cem_tuned_vertical_speed_mps
3,34980003,True,False,True,0.25507500767707825,0.35576432943344116,0.3473467230796814
3,34980004,True,False,True,0.24665102362632751,0.35317590832710266,0.3288407623767853
3,34980005,True,True,True,0.2498472034931183,0.3481338322162628,0.32646775245666504
3,34980006,True,True,True,0.2535965144634247,0.3282420337200165,0.3306259512901306
3,34980007,True,True,True,0.2501581311225891,0.3378934860229492,0.32820427417755127
3,34980008,True,True,True,0.25106585025787354,0.3430355489253998,0.33469903469085693
3,34980009,True,True,True,0.2587767243385315,0.3338349461555481,0.33178067207336426
3,34980010,True,True,True,0.24588006734848022,0.33185726404190063,0.32760295271873474
3,34980011,True,True,True,0.2606401741504669,0.3476828932762146,0.33498862385749817
3,34980012,True,True,True,0.2429502308368683,0.33253902196884155,0.3146544098854065
3,34980013,True,True,True,0.24358873069286346,0.3492119312286377,0.32439929246902466
3,34980014,True,True,True,0.25975778698921204,0.3225686848163605,0.3274114727973938
3,34980015,True,True,True,0.24650226533412933,0.3419913053512573,0.3226145803928375
3,34980016,True,True,True,0.2639675736427307,0.3417852222919464,0.3357165455818176
3,34980017,True,True,True,0.2574276924133301,0.340008944272995,0.33098143339157104
3,34980018,True,True,True,0.2510256767272949,0.31844496726989746,0.32766643166542053
3,34980019,False,True,True,0.368940144777298,0.3328252136707306,0.3148161768913269
3,34980020,False,True,True,0.35095030069351196,0.3136215806007385,0.32623669505119324
3,34980021,False,True,True,0.35233813524246216,0.3426145613193512,0.31909891963005066
3,34980022,False,True,True,0.3618171215057373,0.3119535446166992,0.3227003216743469
3,34980023,False,True,True,0.3589516282081604,0.2955203950405121,0.32797983288764954
3,34980024,True,True,True,0.34758999943733215,0.3359645903110504,0.3225918710231781
3,34980025,False,True,True,0.35440593957901,0.3353317379951477,0.31200888752937317
3,34980026,False,True,True,0.3640269339084625,0.30237165093421936,0.33065399527549744
3,34980027,False,True,True,0.35126081109046936,0.3492773473262787,0.32337892055511475
3,34980028,True,True,False,0.3448444604873657,0.34505710005760193,0.3590172231197357
3,34980029,False,True,True,0.35804861783981323,0.3406944274902344,0.320583701133728
3,34980030,False,True,True,0.3555225729942322,0.33795326948165894,0.32638055086135864
4,44980001,False,False,False,0.37178531289100647,0.36884570121765137,0.3528711795806885
4,44980002,False,False,True,0.3778379559516907,0.3556917905807495,0.3451460301876068
4,44980003,False,False,True,0.38017258048057556,0.38564279675483704,0.3396136164665222
4,44980004,False,False,True,0.37624454498291016,0.35723790526390076,0.34395453333854675
4,44980005,False,False,False,0.38730573654174805,0.364715039730072,0.43178656697273254
4,44980006,False,False,True,0.38027140498161316,0.38024261593818665,0.3396437168121338
4,44980007,False,False,False,0.3854575753211975,0.37075015902519226,0.3512052297592163
4,44980008,False,False,True,0.3737972378730774,0.36841344833374023,0.34877216815948486
4,44980009,False,False,True,0.3747914135456085,0.36450910568237305,0.34480470418930054
4,44980010,False,False,False,0.38209566473960876,0.3589378893375397,0.3546956777572632
4,44980011,False,False,True,0.3661099970340729,0.37355244159698486,0.3435862064361572
4,44980012,False,False,True,0.3757936358451843,0.3670591115951538,0.3490467071533203
4,44980013,False,False,True,0.37521806359291077,0.3584761917591095,0.322609543800354
4,44980014,False,False,True,0.38069969415664673,0.360552042722702,0.347831666469574
4,44980015,False,False,False,0.3781280815601349,0.37260955572128296,0.35584068298339844
4,44980016,False,True,True,0.3744601309299469,0.32884711027145386,0.3372212052345276
4,44980017,False,False,True,0.3849601745605469,0.37377166748046875,0.33587920665740967
4,44980018,False,False,True,0.3647366464138031,0.3571317195892334,0.33131977915763855
4,44980019,False,False,False,0.38803911209106445,0.3629785478115082,0.357950896024704
4,44980020,False,False,True,0.3635251522064209,0.35777348279953003,0.3351134955883026
4,44980021,False,True,True,0.36391863226890564,0.3452467918395996,0.3239296078681946
4,44980022,False,False,True,0.362041175365448,0.3502519130706787,0.3306194245815277
4,44980023,False,False,True,0.38277754187583923,0.3611603081226349,0.34837034344673157
4,44980024,False,False,True,0.36468803882598877,0.36664021015167236,0.33111798763275146
4,44980025,False,True,True,0.37624022364616394,0.3460095524787903,0.3400856852531433
4,44980026,False,True,True,0.3637312054634094,0.3478580713272095,0.33723971247673035
4,44980027,False,False,False,0.37994682788848877,0.358132541179657,0.3540163040161133
4,44980028,False,False,True,0.3788995146751404,0.3571207821369171,0.3415035307407379
4,44980029,False,False,True,0.37620511651039124,0.3509350121021271,0.3392409086227417
4,44980030,False,True,True,0.3709125816822052,0.3477805554866791,0.3454071879386902
