motor,eta,protocol_id,trial_seed,controller,allocator_config,rows,actual_fault_t,post_fault_rows,active_post_fault_rows,contact_found,safe_touchdown,contact_t,fault_to_contact_s,contact_phase,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok,fault_motor_allocation,expected_applied_pwm,logged_applied_pwm,pinv_active_mask,pinv_err_thrust,pinv_err_yaw,pinv_objective,summary_file
1,0.496,seeded_ic_v1,14980024,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4203,10.084484338760376,2697,2607,True,True,14.746546745300293,4.662062406539917,adaptive_brake,0.3394726514816284,0.01052734851837156,0.008424886223701971,0.023731879889965057,0.08274727147664122,0.05948020438359231,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980024_summary.csv
1,0.496,seeded_ic_v1,14980025,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4227,10.228991031646729,2700,2610,True,True,14.90965723991394,4.680666208267212,adaptive_brake,0.34433040022850037,0.005669599771499612,0.0084774590959535,0.01596849411725998,0.08311874616326585,0.03179953221869445,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406528.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980025_summary.csv
1,0.496,seeded_ic_v1,14980026,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4219,10.207894325256348,2698,2611,True,True,14.8479163646698,4.640022039413452,adaptive_brake,0.3397270441055298,0.010272955894470193,0.008432448870747788,0.018428156152367592,0.08206691617473577,0.010279152216351554,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980026_summary.csv
1,0.496,seeded_ic_v1,14980027,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4182,9.926197290420532,2700,2607,True,True,14.60537576675415,4.679178476333618,adaptive_brake,0.33643218874931335,0.013567811250686623,0.008516363501251211,0.022834984585642815,0.08105122186215906,0.03645308158601156,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980027_summary.csv
1,0.496,seeded_ic_v1,14980028,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4167,9.845596313476562,2697,2616,True,True,14.50583553314209,4.660239219665527,adaptive_brake,0.33898502588272095,0.01101497411727903,0.00866716833725033,0.015905562788248062,0.07573681674437523,0.025842332617764915,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980028_summary.csv
1,0.496,seeded_ic_v1,14980029,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4221,10.1853187084198,2700,2613,True,True,14.945272445678711,4.759953737258911,adaptive_brake,0.3372791111469269,0.012720888853073098,0.00847431718656804,0.020012106746435165,0.08334422814285439,0.021761291179941397,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980029_summary.csv
1,0.496,seeded_ic_v1,14980030,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4182,9.92660927772522,2700,2598,True,True,14.586992979049683,4.660383701324463,adaptive_brake,0.34443408250808716,0.00556591749191282,0.008516124636773884,0.017282413318753242,0.08099486379498562,0.013669324120966303,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980030_summary.csv
2,0.496,seeded_ic_v1,24980001,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4188,9.965881586074829,2700,2613,True,True,15.248097896575928,5.282216310501099,adaptive_brake,0.32550305128097534,0.024496948719024636,0.007714500895007067,0.017529916018247604,0.07987493104673107,0.04306505740742102,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980001_summary.csv
2,0.496,seeded_ic_v1,24980002,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4227,10.266464948654175,2694,2601,True,True,15.467873573303223,5.201408624649048,adaptive_brake,0.33101576566696167,0.018984234333038308,0.008581048288577258,0.01828112080693245,0.08132593391410521,0.029197768958491122,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980002_summary.csv
2,0.496,seeded_ic_v1,24980003,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4173,9.866632461547852,2700,2604,True,True,15.006736993789673,5.140104532241821,adaptive_brake,0.3258572518825531,0.024142748117446877,0.007986138505976077,0.0261708814650774,0.07982189402982291,0.020317894900100584,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980003_summary.csv
2,0.496,seeded_ic_v1,24980004,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4209,10.105778455734253,2700,2613,True,True,15.305646896362305,5.199868440628052,adaptive_brake,0.3274148404598236,0.02258515954017637,0.007610300385881974,0.02866547182202339,0.07477711744269178,0.028950645073621127,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980004_summary.csv
2,0.496,seeded_ic_v1,24980005,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4158,9.783710479736328,2697,2613,True,True,15.004868745803833,5.221158266067505,adaptive_brake,0.3178478181362152,0.03215218186378477,0.007696970418716807,0.017574569210410118,0.07777450231173752,0.036046186262480455,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980005_summary.csv
2,0.496,seeded_ic_v1,24980006,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4230,10.246630191802979,2700,2613,True,True,15.44563364982605,5.199003458023071,adaptive_brake,0.3220374882221222,0.027962511777877785,0.007653936097148108,0.022309930995106697,0.07560103472159921,0.001018641368639383,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980006_summary.csv
2,0.496,seeded_ic_v1,24980007,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4191,10.006402730941772,2700,2610,True,True,15.245429992675781,5.239027261734009,adaptive_brake,0.3288370668888092,0.021162933111190774,0.007868587439889873,0.022005675360560417,0.07649643601750514,0.00949528886557998,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980007_summary.csv
