motor,trial_seed,pinv_safe,qplite_safe,pinv_vertical_speed_mps,qplite_vertical_speed_mps,vertical_speed_difference_pinv_minus_qplite,both_safe,pinv_only_safe,qplite_only_safe,both_unsafe,qplite_source_csv
3,34980010,True,True,0.24588006734848022,0.33185726404190063,-0.08597719669342041,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980010.csv
3,34980011,True,True,0.2606401741504669,0.3476828932762146,-0.08704271912574768,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980011.csv
3,34980012,True,True,0.2429502308368683,0.33253902196884155,-0.08958879113197327,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980012.csv
3,34980013,True,True,0.24358873069286346,0.3492119312286377,-0.10562320053577423,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980013.csv
3,34980014,True,True,0.25975778698921204,0.3225686848163605,-0.06281089782714844,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980014.csv
3,34980015,True,True,0.24650226533412933,0.3419913053512573,-0.09548904001712799,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980015.csv
3,34980016,True,True,0.2639675736427307,0.3417852222919464,-0.0778176486492157,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980016.csv
3,34980017,True,True,0.2574276924133301,0.340008944272995,-0.08258125185966492,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980017.csv
3,34980018,True,True,0.2510256767272949,0.31844496726989746,-0.06741929054260254,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980018.csv
3,34980019,False,True,0.368940144777298,0.3328252136707306,0.03611493110656738,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980019.csv
3,34980020,False,True,0.35095030069351196,0.3136215806007385,0.03732872009277344,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980020.csv
3,34980021,False,True,0.35233813524246216,0.3426145613193512,0.009723573923110962,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980021.csv
3,34980022,False,True,0.3618171215057373,0.3119535446166992,0.049863576889038086,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980022.csv
3,34980023,False,True,0.3589516282081604,0.2955203950405121,0.06343123316764832,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980023.csv
3,34980024,True,True,0.34758999943733215,0.3359645903110504,0.011625409126281738,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980024.csv
3,34980025,False,True,0.35440593957901,0.3353317379951477,0.019074201583862305,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980025.csv
3,34980026,False,True,0.3640269339084625,0.30237165093421936,0.061655282974243164,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980026.csv
3,34980027,False,True,0.35126081109046936,0.3492773473262787,0.001983463764190674,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980027.csv
3,34980028,True,True,0.3448444604873657,0.34505710005760193,-0.00021263957023620605,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980028.csv
3,34980029,False,True,0.35804861783981323,0.3406944274902344,0.017354190349578857,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980029.csv
3,34980030,False,True,0.3555225729942322,0.33795326948165894,0.017569303512573242,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980030.csv
4,44980001,False,False,0.37178531289100647,0.36884570121765137,0.0029396116733551025,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980001.csv
4,44980002,False,False,0.3778379559516907,0.3556917905807495,0.022146165370941162,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980002.csv
4,44980003,False,False,0.38017258048057556,0.38564279675483704,-0.005470216274261475,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980003.csv
4,44980004,False,False,0.37624454498291016,0.35723790526390076,0.0190066397190094,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980004.csv
4,44980005,False,False,0.38730573654174805,0.364715039730072,0.022590696811676025,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980005.csv
4,44980006,False,False,0.38027140498161316,0.38024261593818665,2.8789043426513672e-05,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980006.csv
4,44980007,False,False,0.3854575753211975,0.37075015902519226,0.014707416296005249,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980007.csv
4,44980008,False,False,0.3737972378730774,0.36841344833374023,0.005383789539337158,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980008.csv
4,44980009,False,False,0.3747914135456085,0.36450910568237305,0.010282307863235474,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980009.csv
4,44980010,False,False,0.38209566473960876,0.3589378893375397,0.023157775402069092,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980010.csv
4,44980011,False,False,0.3661099970340729,0.37355244159698486,-0.007442444562911987,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980011.csv
4,44980012,False,False,0.3757936358451843,0.3670591115951538,0.008734524250030518,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980012.csv
4,44980013,False,False,0.37521806359291077,0.3584761917591095,0.01674187183380127,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980013.csv
4,44980014,False,False,0.38069969415664673,0.360552042722702,0.020147651433944702,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980014.csv
4,44980015,False,False,0.3781280815601349,0.37260955572128296,0.005518525838851929,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980015.csv
4,44980016,False,True,0.3744601309299469,0.32884711027145386,0.04561302065849304,False,False,True,False,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980016.csv
4,44980017,False,False,0.3849601745605469,0.37377166748046875,0.011188507080078125,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980017.csv
4,44980018,False,False,0.3647366464138031,0.3571317195892334,0.007604926824569702,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980018.csv
4,44980019,False,False,0.38803911209106445,0.3629785478115082,0.025060564279556274,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980019.csv
4,44980020,False,False,0.3635251522064209,0.35777348279953003,0.005751669406890869,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980020.csv
