eta,predicted_safe_probability
0.495681,0.804840361177568
0.495682,0.8069282586685644
0.495683,0.808999119932773
0.495684,0.8110529704395432
0.495685,0.8130898382463367
0.495686,0.8151097539491426
0.495687,0.8171127506309345
0.495688,0.819098863811826
0.495689,0.821068131397365
0.49569,0.8230205936285626
0.495691,0.8249562930301547
0.495692,0.8268752743606327
0.495693,0.8287775845605971
0.495694,0.8306632727029107
0.495695,0.8325323899412624
0.495696,0.8343849894605566
0.495697,0.8362211264257977
0.495698,0.838040857932823
0.495699,0.8398442429576135
0.49570000000000003,0.84163134230747
0.495701,0.8434022185708462
0.49570200000000003,0.8451569360690622
0.495703,0.8468955608067511
0.49570400000000003,0.8486181604241976
0.495705,0.8503248041484778
0.495706,0.8520155627464131
0.495707,0.8536905084769472
0.495708,0.8553497150439467
0.495709,0.8569932575503474
0.49571,0.8586212124513517
0.495711,0.8602336575095479
0.495712,0.8618306717490449
0.495713,0.8634123354115247
0.495714,0.864978729911367
0.495715,0.8665299377926903
0.495716,0.8680660426855128
0.495717,0.8695871292638264
0.495718,0.871093283202839
0.495719,0.8725845911381209
0.49572,0.8740611406239637
0.495721,0.8755230200936355
0.495722,0.8769703188188882
0.495723,0.8784031268713496
0.495724,0.8798215350832062
0.495725,0.8812256350097557
0.495726,0.8826155188912888
0.49572700000000003,0.8839912796168212
0.495728,0.8853530106871894
0.49572900000000003,0.88670080617998
0.49573,0.8880347607138503
0.49573100000000003,0.8893549694146661
0.495732,0.890661527881057
0.49573300000000003,0.891954532151767
0.495734,0.8932340786724514
0.495735,0.8945002642641725
0.495736,0.8957531860917873
0.495737,0.8969929416329628
0.495738,0.898219628648493
0.495739,0.8994333451521933
0.49574,0.9006341893824982
0.495741,0.9018222597735845
0.495742,0.902997654928172
0.495743,0.9041604735898635
0.495744,0.905310814617137
0.495745,0.9064487769568923
0.495746,0.9075744596196194
0.495747,0.9086879616541383
0.495748,0.9097893821239281
0.495749,0.9108788200830414
0.49575,0.9119563745535775
0.495751,0.9130221445027522
0.495752,0.914076228821497
0.495753,0.9151187263026621
0.49575400000000003,0.9161497356207193
0.495755,0.9171693553110798
0.49575600000000003,0.9181776837508758
0.495757,0.9191748191393678
0.49575800000000003,0.9201608594797847
0.495759,0.9211359025607945
0.49576000000000003,0.922100045939376
0.495761,0.9230533869233295
0.49576200000000004,0.9239960225551536
0.495763,0.9249280495955685
0.495764,0.9258495645083207
0.495765,0.9267606634449455
0.495766,0.9276614422300169
0.495767,0.9285519963473684
0.495768,0.9294324209260257
0.495769,0.9303028107273893
0.49577,0.9311632601320812
0.495771,0.9320138631280087
0.495772,0.9328547132980953
0.495773,0.9336859038091979
0.495774,0.934507527400693
0.495775,0.9353196763742176
0.495776,0.9361224425830812
0.495777,0.9369159174228023
0.495778,0.9377001918213175
0.495779,0.9384753562302827
0.49578,0.9392415006160514
0.495781,0.9399987144517131
0.495782,0.9407470867088095
0.49578300000000003,0.941486705850082
0.495784,0.9422176598218983
0.49578500000000003,0.9429400360476805
0.495786,0.943653921421013
0.49578700000000003,0.9443594022997229
0.495788,0.9450565644996414
0.49578900000000004,0.9457454932893099
0.49579,0.9464262733843669
0.49579100000000004,0.9470989889428517
0.495792,0.9477637235601905
0.495793,0.9484205602650339
0.495794,0.9490695815149978
0.495795,0.9497108691926834
0.495796,0.9503445046023226
0.495797,0.9509705684661448
0.495798,0.9515891409215668
0.495799,0.9522003015180677
0.4958,0.9528041292148597
0.495801,0.953400702378247
0.495802,0.9539900987797552
0.495803,0.9545723955939475
0.495804,0.9551476693969898
0.495805,0.9557159961649027
0.495806,0.9562774512725375
0.495807,0.9568321094922418
0.495808,0.9573800449932243
0.495809,0.957921331340612
0.49581000000000003,0.9584560414951824
0.495811,0.9589842478127907
0.49581200000000003,0.9595060220444493
0.495813,0.9600214353361023
0.49581400000000003,0.9605305582290335
0.495815,0.9610334606599702
0.49581600000000003,0.9615302119617964
0.495817,0.9620208808639679
0.49581800000000004,0.9625055354935137
0.495819,0.9629842433757422
0.49582000000000004,0.9634570714355126
0.495821,0.9639240859982136
0.495822,0.9643853527912639
0.495823,0.9648409369454725
0.495824,0.9652909029965218
0.495825,0.9657353148868181
0.495826,0.9661742359670751
0.495827,0.9666077289984025
0.495828,0.9670358561541049
0.495829,0.9674586790219668
0.49583,0.9678762586062533
0.495831,0.9682886553301758
0.495832,0.9686959290380789
0.495833,0.9690981389980764
0.495834,0.9694953439044075
0.495835,0.9698876018802298
0.495836,0.9702749704801337
0.495837,0.9706575066930783
0.495838,0.971035266945051
0.49583900000000003,0.9714083071021358
0.49584,0.9717766824733047
0.49584100000000003,0.9721404478136055
0.495842,0.9724996573270768
0.49584300000000003,0.9728543646700426
0.495844,0.973204622954139
0.49584500000000004,0.9735504847497065
0.495846,0.9738920020889174
0.49584700000000004,0.974229226469256
0.495848,0.9745622088567367
0.49584900000000004,0.974890999689462
0.49585,0.9752156488809227
