condition_index,condition_id,parameter,factor,bracket_low,bracket_high,eta_index,controller,motor,eta,rep,trial_seed,protocol_id,ofat_protocol_id
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,9,63300009,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,10,63300010,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,11,63300011,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,12,63300012,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,13,63300013,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,14,63300014,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,15,63300015,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,16,63300016,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,17,63300017,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,18,63300018,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,19,63300019,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,20,63300020,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,21,63300021,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,22,63300022,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,23,63300023,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,24,63300024,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,25,63300025,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,26,63300026,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,27,63300027,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,28,63300028,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,29,63300029,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,30,63300030,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,1,63300001,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,2,63300002,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,3,63300003,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,4,63300004,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,5,63300005,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,6,63300006,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,7,63300007,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,8,63300008,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,9,63300009,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,10,63300010,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,11,63300011,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,12,63300012,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,13,63300013,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,14,63300014,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,15,63300015,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,16,63300016,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,17,63300017,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,18,63300018,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,19,63300019,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,20,63300020,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,21,63300021,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,22,63300022,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,23,63300023,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,24,63300024,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,25,63300025,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,26,63300026,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,27,63300027,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,28,63300028,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,29,63300029,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,4,pinv,2,0.44687500,30,63300030,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,1,63300001,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,2,63300002,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,3,63300003,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,4,63300004,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,5,63300005,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,6,63300006,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,7,63300007,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,8,63300008,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,9,63300009,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,10,63300010,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,11,63300011,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,12,63300012,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,13,63300013,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,14,63300014,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,15,63300015,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,16,63300016,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,17,63300017,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,18,63300018,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,19,63300019,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,20,63300020,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,21,63300021,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,22,63300022,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,23,63300023,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,24,63300024,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,25,63300025,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,26,63300026,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,27,63300027,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,28,63300028,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,29,63300029,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
