condition_id,parameter,factor,controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.38242946763833363,0.39319872856140137,0.3720638992314644,0.38456564952221733
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49583333,30,30,30,30,30,1.0,0,0,0,0,0,0.33783774773279823,0.34627997875213623,0.3182947663466717,0.3281769384042322
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.2845548292001088,0.2921927869319916,0.2577017176214058,0.2663603416393169
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.2210058555006981,0.23696383833885193,0.18577868168042444,0.20137234423989017
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.12199919099609056,0.15191207826137543,0.09106971268623112,0.11398822341599034
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.0817945587138335,0.0834156721830368,0.016239089269848003,0.3004319988751345
arm_length_minus10,arm_length,0.90,pinv,2,0.49375000,30,30,30,30,0,0.0,30,0,0,0,0,0.4259372701247533,0.43508681654930115,0.4184599363023816,0.42807340102658104
arm_length_minus10,arm_length,0.90,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.38548848827679955,0.39820489287376404,0.36931190168938094,0.3792619740018033
arm_length_minus10,arm_length,0.90,pinv,2,0.49583333,30,30,30,30,30,1.0,0,0,0,0,0,0.34184149305025735,0.349319726228714,0.31729390195495916,0.3238939572207622
arm_length_minus10,arm_length,0.90,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.2900640040636063,0.30424028635025024,0.25876780223260065,0.26951158957911525
arm_length_minus10,arm_length,0.90,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.22668026636044183,0.23863354325294495,0.19143326387357146,0.20453940682559296
arm_length_minus10,arm_length,0.90,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.13247078657150269,0.14969894289970398,0.09842670104830106,0.11079828684144763
arm_length_minus10,arm_length,0.90,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.08189334397514661,0.08291260153055191,0.0067333108425219595,0.017183262923742015
arm_length_plus10,arm_length,1.10,pinv,2,0.49375000,30,30,30,30,0,0.0,30,0,0,0,0,0.42168262402216594,0.4337957799434662,0.3949994760915356,0.4043932470724636
arm_length_plus10,arm_length,1.10,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.3806445519129435,0.39939868450164795,0.3464903747412766,0.3590381612695654
arm_length_plus10,arm_length,1.10,pinv,2,0.49583333,30,30,30,30,29,0.9666666666666667,1,0,0,0,0,0.3339849919080734,0.3503480553627014,0.29492621371646455,0.311057533208157
arm_length_plus10,arm_length,1.10,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.28391096691290535,0.29444774985313416,0.23892476278339572,0.2482089428304187
arm_length_plus10,arm_length,1.10,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.2200285350282987,0.23367427289485931,0.17039261327797428,0.18343734750471855
arm_length_plus10,arm_length,1.10,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.10485801920294761,0.13607822358608246,0.07977742761244778,0.09056796874185699
arm_length_plus10,arm_length,1.10,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.08186858147382736,0.08296191692352295,0.006117189549395877,0.01817510733070736
